Step,AgentID,Wealth
1,1,38000.0
1,2,38000.0
1,3,38000.0
1,4,38000.0
1,5,38000.0
1,6,38000.0
1,7,38000.0
1,8,38000.0
1,9,38000.0
1,10,38000.0
1,11,38000.0
1,12,38000.0
1,13,38000.0
1,14,38000.0
1,15,38000.0
1,16,38000.0
1,17,38000.0
1,18,38000.0
1,19,38000.0
1,20,38000.0
1,21,38000.0
1,22,38000.0
1,23,38000.0
1,24,38000.0
1,25,38000.0
1,26,38000.0
1,27,38000.0
1,28,38000.0
1,29,38000.0
1,30,38000.0
1,31,38000.0
1,32,38000.0
1,33,38000.0
1,34,38000.0
1,35,38000.0
1,36,38000.0
1,37,38000.0
1,38,38000.0
1,39,38000.0
1,40,38000.0
1,41,38000.0
1,42,38000.0
1,43,38000.0
1,44,38000.0
1,45,38000.0
1,46,38000.0
1,47,38000.0
1,48,38000.0
1,49,38000.0
1,50,38000.0
1,51,38000.0
1,52,38000.0
1,53,38000.0
1,54,38000.0
1,55,38000.0
1,56,38000.0
1,57,38000.0
1,58,38000.0
1,59,38000.0
1,60,38000.0
1,61,38000.0
1,62,38000.0
1,63,38000.0
1,64,38000.0
1,65,38000.0
1,66,38000.0
1,67,38000.0
1,68,38000.0
1,69,38000.0
1,70,38000.0
1,71,38000.0
1,72,38000.0
1,73,38000.0
1,74,38000.0
1,75,38000.0
1,76,38000.0
1,77,38000.0
1,78,38000.0
1,79,38000.0
1,80,38000.0
1,81,38000.0
1,82,38000.0
1,83,38000.0
1,84,38000.0
1,85,38000.0
1,86,38000.0
1,87,38000.0
1,88,38000.0
1,89,38000.0
1,90,38000.0
1,91,38000.0
1,92,38000.0
1,93,38000.0
1,94,38000.0
1,95,38000.0
1,96,38000.0
1,97,38000.0
1,98,38000.0
1,99,38000.0
1,100,38000.0
1,101,38000.0
1,102,38000.0
1,103,38000.0
1,104,38000.0
1,105,38000.0
1,106,38000.0
1,107,38000.0
1,108,38000.0
1,109,38000.0
1,110,38000.0
1,111,38000.0
1,112,38000.0
1,113,38000.0
1,114,38000.0
1,115,38000.0
1,116,38000.0
1,117,38000.0
1,118,38000.0
1,119,38000.0
1,120,38000.0
1,121,38000.0
1,122,38000.0
1,123,38000.0
1,124,38000.0
1,125,38000.0
1,126,38000.0
1,127,38000.0
1,128,38000.0
1,129,38000.0
1,130,38000.0
1,131,38000.0
1,132,38000.0
1,133,38000.0
1,134,38000.0
1,135,38000.0
1,136,38000.0
1,137,38000.0
1,138,38000.0
1,139,38000.0
1,140,38000.0
1,141,38000.0
1,142,38000.0
1,143,38000.0
1,144,38000.0
1,145,38000.0
1,146,38000.0
1,147,38000.0
1,148,38000.0
1,149,38000.0
1,150,38000.0
1,151,38000.0
1,152,38000.0
1,153,38000.0
1,154,38000.0
1,155,38000.0
1,156,38000.0
1,157,38000.0
1,158,38000.0
1,159,38000.0
1,160,38000.0
1,161,38000.0
1,162,38000.0
1,163,38000.0
1,164,38000.0
1,165,38000.0
1,166,38000.0
1,167,38000.0
1,168,38000.0
1,169,38000.0
1,170,38000.0
1,171,38000.0
1,172,38000.0
1,173,38000.0
1,174,38000.0
1,175,38000.0
1,176,38000.0
1,177,38000.0
1,178,38000.0
1,179,38000.0
1,180,38000.0
1,181,38000.0
1,182,38000.0
1,183,38000.0
1,184,38000.0
1,185,38000.0
1,186,38000.0
1,187,38000.0
1,188,38000.0
1,189,38000.0
1,190,38000.0
1,191,38000.0
1,192,38000.0
1,193,38000.0
1,194,38000.0
1,195,38000.0
1,196,38000.0
1,197,38000.0
1,198,38000.0
1,199,38000.0
1,200,38000.0
1,201,38000.0
1,202,38000.0
1,203,38000.0
1,204,38000.0
1,205,38000.0
1,206,38000.0
1,207,38000.0
1,208,38000.0
1,209,38000.0
1,210,38000.0
1,211,38000.0
1,212,38000.0
1,213,38000.0
1,214,38000.0
1,215,38000.0
1,216,38000.0
1,217,38000.0
1,218,38000.0
1,219,38000.0
1,220,38000.0
1,221,38000.0
1,222,38000.0
1,223,38000.0
1,224,38000.0
1,225,38000.0
1,226,38000.0
1,227,38000.0
1,228,38000.0
1,229,38000.0
1,230,38000.0
1,231,38000.0
1,232,38000.0
1,233,38000.0
1,234,38000.0
1,235,38000.0
1,236,38000.0
1,237,38000.0
1,238,38000.0
1,239,38000.0
1,240,38000.0
1,241,38000.0
1,242,38000.0
1,243,38000.0
1,244,38000.0
1,245,38000.0
1,246,38000.0
1,247,38000.0
1,248,38000.0
1,249,38000.0
