,Gini,Total
0,0.0,2000.0
1,0.1283314010258142,2183.032639219006
2,0.17335595319882058,2386.435156154273
3,0.19740273620378812,2614.3686463925287
4,0.2010280182470766,2865.486931166055
5,0.2120807248377088,3140.908125783302
6,0.21869097496563417,3441.6920242366873
7,0.22340939497267898,3775.4699383477537
8,0.2410947023754949,4145.468064604806
9,0.2465807810327314,4557.050322639306
10,0.24554000620978178,5010.380405014903
11,0.2537536717096396,5504.99579765829
12,0.25711423009262957,6054.626952541859
13,0.24998428929957406,6644.646722392667
14,0.2581322355146909,7308.9002362454685
15,0.26385918390008956,8037.0487396661065
16,0.2682478422261896,8830.151024092564
17,0.25278666026168484,9697.195725299953
18,0.26116479085126965,10655.583894941028
19,0.251535250557019,11709.801224129951
20,0.2636863328789949,12874.985814447215
21,0.2720064248924995,14164.630582468906
22,0.28152693143458274,15582.385245723257
23,0.26529851020710127,17153.250325271354
24,0.25745327973082033,18888.521720120767
25,0.2632281641838753,20786.887486013045
26,0.26802606678199037,22877.42409791148
27,0.2689611537217126,25166.564713299853
28,0.25749009743988616,27671.42650206756
29,0.2583296218939327,30378.695662515434
30,0.26003003297170035,33370.56903500783
31,0.276048540505778,36714.11527480993
32,0.2710534451046187,40408.0965089146
33,0.27846550636312317,44472.73165259853
34,0.2924444736911984,48958.66053028745
35,0.3043698689912383,53914.834167765526
36,0.29761746376060527,59412.0829665517
37,0.28020753546060406,65408.284555728605
38,0.27571482854471063,72094.96363028463
39,0.2683083148145078,79378.80196283014
40,0.26794846626245017,87279.64782071317
41,0.26545093882423554,95950.75406593429
42,0.26024425074852653,105438.28107002676
43,0.2529805098125292,115893.08358974004
44,0.2651388768892896,127261.38294078603
45,0.24540445608791472,139633.87805575517
46,0.23945036528506602,153435.06680458615
47,0.24288552604481317,168528.68394414955
48,0.24046765279245852,184832.84920876767
49,0.2423671625517949,203102.59507444245
50,0.25058942934011597,222830.9554838239
51,0.24576825659934465,244818.83884086303
52,0.25144037222825133,268694.10214472056
53,0.24894916118983257,294974.06364184926
54,0.2547438414742166,324223.6839757979
55,0.2436220935209975,355803.20163413667
56,0.25422163611562953,390859.6695589497
57,0.2718410746146832,429785.84059504344
58,0.27595952360283993,473262.59356823465
59,0.274405028292556,520521.5867518899
60,0.2762002852814991,573032.3163386536
61,0.2676123956640679,631006.3910582152
62,0.2633367835597237,693914.312091565
63,0.2564484322343833,762899.3300795758
64,0.2658834232506464,837730.5638503311
65,0.2660521232128489,920360.4731447843
66,0.27198997924193913,1011037.7519465893
67,0.2657595991549774,1112186.4354257085
68,0.2684041204286717,1223529.6409516549
69,0.2621841454174998,1346602.5055667455
70,0.25852066606274815,1479720.2078264868
71,0.2582389862666823,1628552.014892793
72,0.266438671630852,1791018.0511817655
73,0.2716026225517846,1967629.1554391363
74,0.26308977161163616,2162404.636098013
75,0.2536108932113934,2375416.0846711555
76,0.256886065135449,2606732.1606824975
77,0.2566617697861431,2860845.8460740056
78,0.2578068697411088,3140207.654267367
79,0.24446911914366953,3450963.475651107
80,0.2490596607263662,3789160.945290622
81,0.2527100069522785,4162013.8005451257
82,0.2465664066631853,4568437.3877324965
83,0.2579762424619628,5016495.931222237
84,0.2586872661839308,5519060.433368989
85,0.2569443467599819,6066617.028446438
86,0.24448843676961152,6671507.468250921
87,0.25095682372291195,7331718.535573179
88,0.23665238657911758,8051387.953461338
89,0.24211002389522285,8850945.377306428
90,0.24661723217589337,9727350.032949297
91,0.2591457707481757,10679267.297105912
92,0.2681558917597562,11735389.63160086
93,0.26583967905055084,12897047.885798078
94,0.2587673426064937,14193853.390013706
95,0.2511128781318658,15594076.755320456
96,0.2544538314225224,17122742.155634884
97,0.2798888171663403,18834658.600737248
98,0.2778106292190873,20715257.461429622
99,0.27973124819901196,22793950.322967034
